Country Abbreviation,Country Name,Region,GDP (USD million)
USA,United States,North America,"16,800,000"
CHN,China,Asia,"9,240,270"
JPN,Japan,Asia,"4,901,530"
DEU,Germany,Europe,"3,634,823"
FRA,France,Europe,"2,734,949"
GBR,United Kingdom,Europe,"2,522,261"
BRA,Brazil,South America,"2,245,673"
RUS,Russian Federation,Europe,"2,096,777"
ITA,Italy,Europe,"2,071,307"
IND,India,Asia,"1,876,797"
CAN,Canada,North America,"1,825,096"
AUS,Australia,Oceania,"1,560,597"
ESP,Spain,Europe,"1,358,263"
KOR,"Korea, Rep.",Asia,"1,304,554"
MEX,Mexico,North America,"1,260,915"
IDN,Indonesia,Asia,"868,346"
TUR,Turkey,Asia,"820,207"
NLD,Netherlands,Europe,"800,173"
SAU,Saudi Arabia,Asia,"745,273"
CHE,Switzerland,Europe,"650,782"
ARG,Argentina,South America,"611,755"
SWE,Sweden,Europe,"557,938"
NGA,Nigeria,Africa,"522,638"
POL,Poland,Europe,"517,543"
NOR,Norway,Europe,"512,580"
BEL,Belgium,Europe,"508,116"
VEN,"Venezuela, RB",South America,"438,284"
AUT,Austria,Europe,"415,844"
THA,Thailand,Asia,"387,252"
ARE,United Arab Emirates,Asia,"383,799"
COL,Colombia,South America,"378,148"
IRN,"Iran, Islamic Rep.",Asia,"368,904"
ZAF,South Africa,Africa,"350,630"
DNK,Denmark,Europe,"330,814"
MYS,Malaysia,Asia,"312,435"
SGP,Singapore,Asia,"297,941"
ISR,Israel,Asia,"291,357"
CHL,Chile,South America,"277,199"
HKG,"Hong Kong SAR, China",Asia,"274,013"
PHL,Philippines,Asia,"272,017"
EGY,"Egypt, Arab Rep.",Africa,"271,973"
FIN,Finland,Europe,"256,842"
GRC,Greece,Europe,"241,721"
PAK,Pakistan,Asia,"236,625"
KAZ,Kazakhstan,Asia,"224,415"
IRQ,Iraq,Asia,"222,879"
PRT,Portugal,Europe,"219,962"
IRL,Ireland,Europe,"217,816"
DZA,Algeria,Africa,"210,183"
QAT,Qatar,Asia,"202,450"
PER,Peru,South America,"202,296"
CZE,Czech Republic,Europe,"198,450"
ROM,Romania,Europe,"189,638"
KWT,Kuwait,Asia,"183,219"
NZL,New Zealand,Oceania,"182,594"
UKR,Ukraine,Europe,"177,431"
VNM,Vietnam,Asia,"171,392"
BGD,Bangladesh,Asia,"129,857"
HUN,Hungary,Europe,"124,600"
AGO,Angola,Africa,"121,704"
MAR,Morocco,Africa,"104,374"
PRI,Puerto Rico,North America,"101,496"
SVK,Slovak Republic,Europe,"91,348"
ECU,Ecuador,South America,"90,023"
OMN,Oman,Asia,"80,570"
LBY,Libya,Africa,"75,456"
AZE,Azerbaijan,Asia,"73,560"
BLR,Belarus,Europe,"71,710"
CUB,Cuba,North America,"68,234"
LKA,Sri Lanka,Asia,"67,182"
SDN,Sudan,Africa,"66,548"
DOM,Dominican Republic,North America,"60,614"
LUX,Luxembourg,Europe,"60,383"
HRV,Croatia,Europe,"57,539"
UZB,Uzbekistan,Asia,"56,796"
URY,Uruguay,South America,"55,708"
GTM,Guatemala,North America,"53,797"
BGR,Bulgaria,Europe,"53,010"
MAC,"Macao SAR, China",Asia,"51,753"
CRI,Costa Rica,North America,"49,621"
GHA,Ghana,Africa,"47,929"
TUN,Tunisia,Africa,"47,129"
ETH,Ethiopia,Africa,"46,869"
SVN,Slovenia,Europe,"45,378"
LBN,Lebanon,Asia,"44,352"
KEN,Kenya,Africa,"44,101"
PAN,Panama,North America,"42,648"
SRB,Serbia,Europe,"42,521"
LTU,Lithuania,Europe,"42,344"
TKM,Turkmenistan,Asia,"41,851"
YEM,"Yemen, Rep.",Asia,"35,955"
JOR,Jordan,Asia,"33,678"
TZA,Tanzania,Africa,"33,225"
BHR,Bahrain,Asia,"32,788"
CIV,C“te d'Ivoire,Africa,"30,905"
ZAR,"Congo, Dem. Rep.",Africa,"30,629"
BOL,Bolivia,South America,"30,601"
PRY,Paraguay,South America,"29,949"
CMR,Cameroon,Africa,"29,275"
LVA,Latvia,Europe,"28,373"
TTO,Trinidad and Tobago,North America,"24,641"
EST,Estonia,Europe,"24,477"
SLV,El Salvador,North America,"24,259"
CYP,Cyprus,Europe,"22,767"
ZMB,Zambia,Africa,"22,384"
UGA,Uganda,Africa,"21,483"
AFG,Afghanistan,Asia,"20,725"
GAB,Gabon,Africa,"19,344"
NPL,Nepal,Asia,"19,294"
HND,Honduras,North America,"18,550"
BIH,Bosnia and Herzegovina,Europe,"17,828"
GEO,Georgia,Europe,"16,127"
BRN,Brunei Darussalam,Asia,"16,111"
GNQ,Equatorial Guinea,Africa,"15,574"
MOZ,Mozambique,Africa,"15,319"
PNG,Papua New Guinea,Asia,"15,289"
KHM,Cambodia,Asia,"15,250"
SEN,Senegal,Africa,"15,150"
BWA,Botswana,Africa,"14,788"
ISL,Iceland,Europe,"14,620"
JAM,Jamaica,North America,"14,362"
COG,"Congo, Rep.",Africa,"14,108"
SSD,South Sudan,Africa,"13,797"
TCD,Chad,Africa,"13,414"
ALB,Albania,Europe,"12,904"
ZWE,Zimbabwe,Africa,"12,802"
NAM,Namibia,Africa,"12,580"
MUS,Mauritius,Africa,"11,938"
BFA,Burkina Faso,Africa,"11,583"
MNG,Mongolia,Asia,"11,516"
NIC,Nicaragua,North America,"11,256"
LAO,Lao PDR,Asia,"11,141"
MLI,Mali,Africa,"10,943"
MDG,Madagascar,Africa,"10,797"
ARM,Armenia,Europe,"10,432"
MKD,"Macedonia, FYR",Europe,"10,221"
MLT,Malta,Europe,"8,741"
TJK,Tajikistan,Asia,"8,508"
HTI,Haiti,North America,"8,459"
BEN,Benin,Africa,"8,307"
BHS,"Bahamas, The",North America,"8,149"
MDA,Moldova,Europe,"7,935"
RWA,Rwanda,Africa,"7,452"
NER,Niger,Africa,"7,356"
KGZ,Kyrgyz Republic,Asia,"7,226"
KSV,Kosovo,Europe,"6,960"
GIN,Guinea,Africa,"6,193"
MCO,Monaco,Europe,"6,075"
BMU,Bermuda,North America,"5,474"
SUR,Suriname,South America,"5,231"
SLE,Sierra Leone,Africa,"4,929"
MNE,Montenegro,Europe,"4,428"
TGO,Togo,Africa,"4,339"
BRB,Barbados,North America,"4,225"
MRT,Mauritania,Africa,"4,163"
FJI,Fiji,Oceania,"4,028"
SWZ,Swaziland,Africa,"3,791"
MWI,Malawi,Africa,"3,705"
ERI,Eritrea,Africa,"3,444"
GUY,Guyana,South America,"3,076"
BDI,Burundi,Africa,"2,718"
ABW,Aruba,North America,"2,584"
MDV,Maldives,Asia,"2,300"
LSO,Lesotho,Africa,"2,230"
LBR,Liberia,Africa,"1,951"
CPV,Cape Verde,Africa,"1,888"
BTN,Bhutan,Asia,"1,884"
TMP,Timor-Leste,Asia,"1,615"
BLZ,Belize,North America,"1,605"
CAF,Central African Republic,Africa,"1,538"
DJI,Djibouti,Africa,"1,456"
LCA,St. Lucia,North America,"1,332"
SYC,Seychelles,Africa,"1,268"
ATG,Antigua and Barbuda,North America,"1,230"
SLB,Solomon Islands,Oceania,"1,096"
GMB,"Gambia, The",Africa,914
GNB,Guinea-Bissau,Africa,859
VUT,Vanuatu,Oceania,835
GRD,Grenada,North America,834
KNA,St. Kitts and Nevis,North America,743
VCT,St. Vincent and the Grenadines,North America,726
WSM,Samoa,Oceania,694
COM,Comoros,Africa,657
DMA,Dominica,North America,505
TON,Tonga,Oceania,466
FSM,"Micronesia, Fed. Sts.",Oceania,335
STP,Sao Tom‚ and Principe,Africa,311
PLW,Palau,Oceania,247
MHL,Marshall Islands,Oceania,175
KIR,Kiribati,Oceania,169
TUV,Tuvalu,Oceania,38
